350,Boylston St at Dartmouth St,42.35010609546997,-71.07720464005979,Boylston St at Fairfield St,42.348762,-71.082383,Customer
1526,Boylston St at Fairfield St,42.348762,-71.082383,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,Subscriber
842,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,Harrison Ave at E. Dedham St,42.339194,-71.06975,Subscriber
827,Harrison Ave at E. Dedham St,42.339194,-71.06975,Boylston St at Fairfield St,42.348762,-71.082383,Customer
540,Boylston St at Fairfield St,42.348762,-71.082383,Massachusetts Ave at Columbus Ave,42.33949453726166,-71.0802078062261,Subscriber
818,Massachusetts Ave at Columbus Ave,42.33949453726166,-71.0802078062261,Longwood Ave at Binney St,42.338629,-71.1065,Subscriber
568,Longwood Ave at Binney St,42.338629,-71.1065,Mass Ave T Station,42.34135615767354,-71.08336953450817,Subscriber
655,Mass Ave T Station,42.34135615767354,-71.08336953450817,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Subscriber
403,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Mass Ave T Station,42.34135615767354,-71.08336953450817,Subscriber
748,Mass Ave T Station,42.34135615767354,-71.08336953450817,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,Subscriber
302,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Subscriber
340,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Kendall T,42.3624278429124,-71.08495473861694,Subscriber
454,Kendall T,42.3624278429124,-71.08495473861694,Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,Subscriber
971,Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,Canal St at Causeway St,42.36530094929082,-71.06092190993877,Customer
522,Canal St at Causeway St,42.36530094929082,-71.06092190993877,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,Subscriber
