fname,lname,year,stint,team,league,AB,H,HR,SB,BB,SO,HBP,PA
Ed,Kirkpatrick,1969,1,KCA,AL,315,81,14,3,43,42,3,370
Lou,Klimchock,1969,1,CLE,AL,258,74,6,0,18,14,0,282
Bobby,Knoop,1969,2,CHA,AL,345,79,6,2,35,68,2,391
Andy,Kosco,1969,1,LAN,NL,424,105,19,0,21,66,1,455
Ed,Kranepool,1969,1,NYN,NL,353,84,11,3,37,32,0,403
Ted,Kubiak,1969,1,OAK,AL,305,76,2,2,25,35,1,340
Coco,Laboy,1969,1,MON,NL,562,145,18,0,40,96,4,618
Joe,Lahoud,1969,1,BOS,AL,218,41,9,2,40,43,1,259
Hal,Lanier,1969,1,SFN,NL,495,113,0,0,25,68,0,542
Jim,Lefebvre,1969,1,LAN,NL,275,65,4,2,48,37,1,340
Eddie,Leon,1969,1,CLE,AL,213,51,3,2,19,37,0,239
Dave,Marshall,1969,1,SFN,NL,267,62,2,1,40,68,5,318
Buck,Martinez,1969,1,KCA,AL,205,47,4,0,8,25,0,216
Marty,Martinez,1969,1,HOU,NL,198,61,0,0,10,21,0,214
Don,Mason,1969,1,SFN,NL,250,57,0,1,36,29,0,292
Tommy,Matchick,1969,1,DET,AL,298,72,0,3,15,51,0,319
Dal,Maxvill,1969,1,SLN,NL,372,65,2,1,44,52,1,427
Carlos,May,1969,1,CHA,AL,367,103,18,1,58,66,6,441
Lee,Maye,1969,2,WS2,AL,238,69,9,1,20,25,0,258
Jerry,May,1969,1,PIT,NL,190,44,7,1,9,53,2,205
Lee,May,1969,1,CIN,NL,607,169,38,5,45,142,6,673
Willie,Mays,1969,1,SFN,NL,403,114,13,6,49,71,3,466
Bill,Mazeroski,1969,1,PIT,NL,227,52,3,1,22,16,2,259
Dick,McAuliffe,1969,1,DET,AL,271,71,11,2,47,41,0,322
Tim,McCarver,1969,1,SLN,NL,515,134,7,4,49,26,2,585
Willie,McCovey,1969,1,SFN,NL,491,157,45,0,121,66,4,668
Tommy,McCraw,1969,1,CHA,AL,240,62,2,1,21,24,3,271
Ken,McMullen,1969,1,WS2,AL,562,153,19,4,70,103,1,648
Jerry,McNertney,1969,1,SE1,AL,410,99,8,1,29,63,0,452
Bill,Melton,1969,1,CHA,AL,556,142,23,1,56,106,5,635
Denis,Menke,1969,1,HOU,NL,553,149,10,2,87,87,4,669
Gene,Michael,1969,1,NYA,AL,412,112,2,7,43,56,1,465
Felix,Millan,1969,1,ATL,NL,652,174,6,14,34,35,8,713
Norm,Miller,1969,1,HOU,NL,409,108,4,4,47,77,7,470
Don,Mincher,1969,1,SE1,AL,427,105,25,10,78,69,5,526
George,Mitterwald,1969,1,MIN,AL,187,48,5,0,17,47,3,211
Rick,Monday,1969,1,OAK,AL,399,108,12,12,72,100,5,492
Don,Money,1969,1,PHI,NL,450,103,6,1,43,83,1,508
Joe,Morgan,1969,1,HOU,NL,535,126,15,49,110,74,1,658
Bubba,Morton,1969,1,CAL,AL,172,42,7,0,28,29,3,207
Manny,Mota,1969,2,LAN,NL,294,95,3,5,26,25,1,337
Bobby,Murcer,1969,1,NYA,AL,564,146,26,7,50,103,3,627
Ivan,Murrell,1969,1,SDN,NL,247,63,3,3,11,65,2,263
Graig,Nettles,1969,1,MIN,AL,225,50,7,1,32,47,1,262
Jim,Northrup,1969,1,DET,AL,543,160,25,4,52,83,3,603
Syd,O'Brien,1969,1,BOS,AL,263,64,9,2,15,37,1,283
Tony,Oliva,1969,1,MIN,AL,637,197,24,10,45,66,3,704
Al,Oliver,1969,1,PIT,NL,463,132,17,8,21,38,13,513
Bob,Oliver,1969,1,KCA,AL,394,100,13,5,21,74,2,427
Ray,Oyler,1969,1,SE1,AL,255,42,7,1,31,80,2,291
Jose,Pagan,1969,1,PIT,NL,274,78,9,1,17,46,1,300
Wes,Parker,1969,1,LAN,NL,471,131,13,4,56,46,2,547
Freddie,Patek,1969,1,PIT,NL,460,110,5,15,53,86,1,537
Don,Pavletich,1969,1,CHA,AL,188,46,6,0,28,45,0,223
Roberto,Pena,1969,1,SDN,NL,472,118,4,0,21,63,3,501
Joe,Pepitone,1969,1,NYA,AL,513,124,27,8,30,42,1,557
Tony,Perez,1969,1,CIN,NL,629,185,37,4,63,131,2,711
Rico,Petrocelli,1969,1,BOS,AL,535,159,40,3,98,68,1,656
Bobby,Pfeil,1969,1,NYN,NL,211,49,0,0,7,27,1,223
Adolfo,Phillips,1969,2,MON,NL,199,43,4,6,19,62,1,221
Lou,Piniella,1969,1,KCA,AL,493,139,11,2,33,56,3,541
Vada,Pinson,1969,1,SLN,NL,495,126,10,4,35,63,3,545
Boog,Powell,1969,1,BAL,AL,533,162,37,1,72,76,1,625
Jim,Price,1969,1,DET,AL,192,45,9,0,18,20,0,215
Doug,Rader,1969,1,HOU,NL,569,140,11,1,62,103,6,648
Rich,Reese,1969,1,MIN,AL,419,135,16,1,23,57,5,454
Rick,Reichardt,1969,1,CAL,AL,493,125,13,3,43,100,8,562
Roger,Repoz,1969,1,CAL,AL,219,36,8,1,32,52,0,257
Merv,Rettenmund,1969,1,BAL,AL,190,47,4,6,28,28,0,227
Tommie,Reynolds,1969,1,OAK,AL,315,81,2,1,34,29,8,364
Juan,Rios,1969,1,KCA,AL,196,44,1,1,7,19,3,210
Bill,Robinson,1969,1,NYA,AL,222,38,3,3,16,39,0,242
Brooks,Robinson,1969,1,BAL,AL,598,140,23,2,56,55,3,680
Frank,Robinson,1969,1,BAL,AL,539,166,32,9,88,62,13,654
Aurelio,Rodriguez,1969,1,CAL,AL,561,130,7,5,32,88,2,617
Ellie,Rodriguez,1969,1,KCA,AL,267,63,2,3,31,26,8,314
Cookie,Rojas,1969,1,PHI,NL,391,89,4,1,23,28,1,426
Rich,Rollins,1969,1,SE1,AL,187,42,4,2,7,19,5,201
Phil,Roof,1969,1,OAK,AL,247,58,2,1,33,55,5,292
John,Roseboro,1969,1,MIN,AL,361,95,3,5,39,44,0,418
Pete,Rose,1969,1,CIN,NL,627,218,16,7,88,65,5,746
Chico,Ruiz,1969,1,CIN,NL,196,48,0,4,14,28,0,222
Bill,Russell,1969,1,LAN,NL,212,48,5,4,22,45,1,239
Mike,Ryan,1969,1,PHI,NL,446,91,12,1,30,66,2,485
Manny,Sanguillen,1969,1,PIT,NL,459,139,5,8,12,48,3,485
Ron,Santo,1969,1,CHN,NL,575,166,29,1,96,97,2,694
Paul,Schaal,1969,1,KCA,AL,205,54,1,2,25,27,2,239
Richie,Scheinblum,1969,1,CLE,AL,199,37,1,0,19,30,0,222
Dick,Schofield,1969,1,BOS,AL,226,58,2,0,29,44,4,262
George,Scott,1969,1,BOS,AL,549,139,16,4,61,74,4,629
Art,Shamsky,1969,1,NYN,NL,303,91,14,1,36,32,3,351
Mike,Shannon,1969,1,SLN,NL,551,140,12,1,49,87,1,613
Duke,Sims,1969,1,CLE,AL,326,77,18,1,66,80,6,404
John,Sipin,1969,1,SDN,NL,229,51,2,2,8,44,1,242
Ted,Sizemore,1969,1,LAN,NL,590,160,4,5,45,40,5,657
Reggie,Smith,1969,1,BOS,AL,543,168,25,7,54,67,1,614
Willie,Smith,1969,1,CHN,NL,195,48,9,1,25,49,0,226
Russ,Snyder,1969,1,CLE,AL,266,66,2,3,25,33,0,296
Al,Spangler,1969,1,CHN,NL,213,45,4,0,21,16,1,238
Jim,Spencer,1969,1,CAL,AL,386,98,10,1,26,53,2,428
Ed,Spiezio,1969,1,SDN,NL,355,83,13,1,38,64,4,403
Mickey,Stanley,1969,1,DET,AL,592,139,16,8,52,56,2,652
Willie,Stargell,1969,1,PIT,NL,522,160,29,1,61,120,6,608
Rusty,Staub,1969,1,MON,NL,549,166,29,3,110,61,9,684
Jimmy,Stewart,1969,1,CIN,NL,221,56,4,4,19,33,0,248
Ron,Stone,1969,1,PHI,NL,222,53,1,3,29,28,3,267
Ed,Stroud,1969,1,WS2,AL,206,52,4,12,30,33,2,241
Bill,Sudakis,1969,1,LAN,NL,462,108,14,3,40,94,1,512
Gary,Sutherland,1969,1,MON,NL,544,130,3,5,37,31,2,601
Ron,Swoboda,1969,1,NYN,NL,327,77,9,1,43,90,2,379
Jose,Tartabull,1969,1,OAK,AL,266,71,0,3,9,11,0,282
Carl,Taylor,1969,1,PIT,NL,221,77,4,0,31,36,3,261
Tony,Taylor,1969,1,PHI,NL,557,146,3,19,42,62,4,609
Bob,Tillman,1969,1,ATL,NL,190,37,12,0,18,47,0,210
Bobby,Tolan,1969,1,CIN,NL,637,194,21,26,27,92,15,693
Joe,Torre,1969,1,SLN,NL,602,174,18,0,66,85,5,691
Cesar,Tovar,1969,1,MIN,AL,535,154,11,45,37,37,9,594
Tom,Tresh,1969,2,DET,AL,331,74,13,2,39,47,2,377
Ted,Uhlaender,1969,1,MIN,AL,554,151,8,15,44,52,4,614
Del,Unser,1969,1,WS2,AL,581,166,7,8,58,54,0,652
Zoilo,Versalles,1969,1,CLE,AL,217,49,1,3,21,47,2,243
Bill,Voss,1969,1,CAL,AL,349,91,2,5,35,40,0,393
Pete,Ward,1969,1,CHA,AL,199,49,6,0,33,38,3,239
Al,Weis,1969,1,NYN,NL,247,53,2,3,15,51,0,270
Don,Wert,1969,1,DET,AL,423,95,14,3,49,60,1,484
Roy,White,1969,1,NYA,AL,448,130,7,18,81,51,1,547
Billy,Williams,1969,1,CHN,NL,642,188,21,3,59,70,4,723
Walt,Williams,1969,1,CHA,AL,471,143,3,6,26,33,3,508
Maury,Wills,1969,1,MON,NL,189,42,0,15,20,21,0,211
Maury,Wills,1969,2,LAN,NL,434,129,4,25,39,40,1,481
Bobby,Wine,1969,1,MON,NL,370,74,3,0,28,49,0,409
Ron,Woods,1969,2,NYA,AL,171,30,1,2,22,29,1,201
Woody,Woodward,1969,1,CIN,NL,241,63,0,3,24,40,2,277
Jim,Wynn,1969,1,HOU,NL,495,133,33,23,148,142,3,667
Carl,Yastrzemski,1969,1,BOS,AL,603,154,40,15,101,91,1,716
Don,Young,1969,1,CHN,NL,272,65,6,1,38,74,5,328
Hank,Aaron,1970,1,ATL,NL,516,154,38,9,74,63,2,613
Tommie,Agee,1970,1,NYN,NL,636,182,24,31,55,156,2,699
Bernie,Allen,1970,1,WS2,AL,261,61,8,0,43,21,0,309
Dick,Allen,1970,1,SLN,NL,459,128,34,5,71,118,2,549
Gene,Alley,1970,1,PIT,NL,426,104,8,7,31,70,3,475
Sandy,Alomar,1970,1,CAL,AL,672,169,2,35,49,65,1,737
Felipe,Alou,1970,1,OAK,AL,575,156,8,10,32,31,1,624
Jesus,Alou,1970,1,HOU,NL,458,140,1,3,21,15,1,491
Matty,Alou,1970,1,PIT,NL,677,201,1,19,30,18,4,721
Brant,Alyea,1970,1,MIN,AL,258,75,16,3,28,51,3,290
Mike,Andrews,1970,1,BOS,AL,589,149,17,2,81,63,3,681
Luis,Aparicio,1970,1,CHA,AL,552,173,5,8,53,34,1,617
Jose,Arcia,1970,1,SDN,NL,229,51,0,3,12,36,7,253
Joe,Azcue,1970,1,CAL,AL,351,85,2,0,24,40,2,385
Bob,Bailey,1970,1,MON,NL,352,101,28,5,72,70,1,437
Sal,Bando,1970,1,OAK,AL,502,132,20,6,118,88,6,641
Ernie,Banks,1970,1,CHN,NL,222,56,12,0,20,33,1,250
Bob,Barton,1970,1,SDN,NL,188,41,4,1,15,37,1,208
John,Bateman,1970,1,MON,NL,520,123,15,8,28,75,1,566
Glenn,Beckert,1970,1,CHN,NL,591,170,3,4,32,22,0,632
Mark,Belanger,1970,1,BAL,AL,459,100,1,13,52,65,5,530
Johnny,Bench,1970,1,CIN,NL,605,177,45,5,54,102,0,680
Ken,Berry,1970,1,CHA,AL,463,128,7,6,43,61,6,525
Paul,Blair,1970,1,BAL,AL,480,128,18,24,56,93,3,549
Curt,Blefary,1970,1,NYA,AL,269,57,9,1,43,37,3,321
Bobby,Bonds,1970,1,SFN,NL,663,200,26,48,77,189,2,752
Ken,Boswell,1970,1,NYN,NL,351,89,5,5,41,32,2,410
